Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
1.473,2.311,-1.1078940962975032,2.666,0.28,0.277,0.223,0.186,0.254,1.138,1.111,0.02296819787985882,3.179,4.712,0.7361728417985297
1.46,2.377,-1.0784447959200134,2.92,0.253,0.306,0.026,0.196,0.303,1.213,1.027,0.6863957597173149,3.214,5.463,0.8074125803164417
1.552,2.164,-1.204656083252112,2.745,0.282,0.21,0.172,0.193,0.21,1.221,1.058,0.5706713780918733,3.064,5.332,0.7644179412366469
1.605,2.228,-1.1331363537639227,2.834,0.292,0.361,0.209,0.129,0.273,1.144,1.062,0.12632508833922262,3.149,4.829,0.7608490612146083
1.534,2.114,-0.9985109806096841,2.976,0.21,0.25,0.226,0.177,0.204,1.254,1.112,0.9257950530035339,3.309,5.734,0.8320236726994873
1.796,2.262,-1.1070526877152889,2.888,0.297,0.148,0.162,0.282,0.204,1.172,1.03,0.15459363957597194,3.18,4.861,0.7740450793217235
1.566,2.323,-0.8638856074554458,2.711,0.242,0.054,0.211,-0.027,0.22,1.158,0.992,0.08303886925795112,3.469,4.78,0.7224294384835422
1.425,2.152,-1.0170219694183922,2.781,0.299,0.208,0.104,0.115,0.27,1.271,1.115,0.8621908127208489,3.287,5.662,0.7987640702752047
1.595,2.271,-0.9867312604586884,2.743,0.173,0.196,0.168,0.059,0.205,1.29,1.033,0.40547703180212036,3.323,5.145,0.762645480945286
1.628,2.211,-1.1104183220441448,2.71,0.084,0.189,0.278,0.168,0.349,1.155,1.008,0.8189045936395773,3.176,5.613,0.7907071892996193
1.583,2.253,-1.024594646658318,2.854,0.149,0.11,0.228,0.073,0.217,1.135,1.112,0.7623674911660787,3.278,5.549,0.7876477370423135
1.454,2.277,-0.9875726690409024,2.866,0.302,0.283,0.212,0.156,0.264,1.14,1.229,0.21466431095406424,3.322,4.929,0.7841743034927635
1.617,2.183,-1.0683478929334456,2.71,0.122,0.256,0.016,0.14,0.286,1.255,1.033,0.6095406360424036,3.226,5.376,0.7632660619257464
1.482,2.344,-1.1062112791330752,2.894,0.234,0.178,0.231,0.205,0.264,0.956,1.086,0.41607773851590135,3.181,5.157,0.765322204948569
1.443,2.26,-1.138184805257207,2.705,0.281,0.096,0.193,0.22,0.234,1.133,1.083,0.8471731448763249,3.143,5.645,0.7797490283015932
1.477,2.349,-1.2601890496782353,2.994,0.247,0.195,0.179,0.093,0.042,1.227,1.075,0.8833922261484108,2.998,5.686,0.7917669313725146
1.527,2.206,-0.9875726690409024,2.892,0.21,0.146,0.095,0.165,0.193,1.222,1.071,0.45406360424028325,3.322,5.2,0.7661242445999482
1.599,2.296,-0.8891278649218654,2.662,0.201,0.194,0.227,0.134,0.088,1.183,1.118,0.5989399293286226,3.439,5.364,0.7843176720338964
1.587,2.308,-0.9522335085879149,2.866,0.262,0.162,0.102,0.225,0.299,1.218,1.158,0.05742049469964705,3.364,4.751,0.774348915509311
