CALORIES,PROTEIN,FAT,SODIUM,FIBER,CARBO,SUGARS,POTASS,VITAMINS,SHELF,WEIGHT,CUPS,config1,config2,config3
70,4,1,130,10.0,5.0,6,280,25,3,1.0,0.33,3,1,2
120,3,5,15,2.0,8.0,8,135,0,3,1.0,1.0,2,3,1
70,4,1,260,9.0,7.0,5,320,25,3,1.0,0.33,3,1,2
50,4,0,140,14.0,8.0,0,330,25,3,1.0,0.5,3,1,2
110,2,2,200,1.0,14.0,8,-1,25,3,1.0,0.75,1,2,0
110,2,2,180,1.5,10.5,10,70,25,1,1.0,0.75,1,4,0
110,2,0,125,1.0,11.0,14,30,25,2,1.0,1.0,1,0,0
130,3,2,210,2.0,18.0,8,100,25,3,1.33,0.75,1,4,0
90,2,1,200,4.0,15.0,6,125,25,1,1.0,0.67,0,4,0
90,3,0,210,5.0,13.0,5,190,25,3,1.0,0.67,3,1,2
120,1,2,220,0.0,12.0,12,35,25,2,1.0,0.75,1,2,0
110,6,2,290,2.0,17.0,1,105,25,1,1.0,1.25,4,2,0
120,1,3,210,0.0,13.0,9,45,25,2,1.0,0.75,1,2,0
110,3,2,140,2.0,13.0,7,105,25,3,1.0,0.5,0,4,0
110,1,1,180,0.0,12.0,13,55,25,2,1.0,1.0,1,4,0
110,2,0,280,0.0,22.0,3,25,25,1,1.0,1.0,4,2,0
100,2,0,290,1.0,21.0,2,35,25,1,1.0,1.0,4,2,0
110,1,0,90,1.0,13.0,12,20,25,2,1.0,1.0,2,0,1
110,1,1,180,0.0,12.0,13,65,25,2,1.0,1.0,1,4,0
110,3,3,140,4.0,10.0,7,160,25,3,1.0,0.5,0,4,2
100,3,0,80,1.0,21.0,0,-1,0,2,1.0,1.0,2,0,1
110,2,0,220,1.0,21.0,3,30,25,3,1.0,1.0,1,2,0
100,2,1,140,2.0,11.0,10,120,25,3,1.0,0.75,0,4,0
100,2,0,190,1.0,18.0,5,80,25,3,1.0,0.75,1,4,0
110,2,1,125,1.0,11.0,13,30,25,2,1.0,1.0,1,0,0
110,1,0,200,1.0,14.0,11,25,25,1,1.0,0.75,1,2,0
100,3,0,0,3.0,14.0,7,100,25,2,1.0,0.8,2,3,1
120,3,2,160,5.0,12.0,10,200,25,3,1.25,0.67,0,1,2
120,3,0,240,5.0,14.0,12,190,25,3,1.33,0.67,3,1,2
110,1,1,135,0.0,13.0,12,25,25,2,1.0,0.75,1,0,0
100,2,0,45,0.0,11.0,15,40,25,1,1.0,0.88,2,0,1
110,1,1,280,0.0,15.0,9,45,25,2,1.0,0.75,4,2,0
100,3,1,140,3.0,15.0,5,85,25,3,1.0,0.88,1,4,0
110,3,0,170,3.0,17.0,3,90,25,3,1.0,0.25,1,4,0
120,3,3,75,3.0,13.0,4,100,25,3,1.0,0.33,2,0,1
120,1,2,220,1.0,12.0,11,45,25,2,1.0,1.0,1,2,0
110,3,1,250,1.5,11.5,10,90,25,1,1.0,0.75,4,2,0
110,1,0,180,0.0,14.0,11,35,25,1,1.0,1.33,1,2,0
110,2,1,170,1.0,17.0,6,60,100,3,1.0,1.0,1,4,0
140,3,1,170,2.0,20.0,9,95,100,3,1.3,0.75,1,4,0
110,2,1,260,0.0,21.0,3,40,25,2,1.0,1.5,4,2,0
100,4,2,150,2.0,12.0,6,95,25,2,1.0,0.67,1,4,0
110,2,1,180,0.0,12.0,12,55,25,2,1.0,1.0,1,4,0
100,4,1,0,0.0,16.0,3,95,25,2,1.0,1.0,2,3,1
150,4,3,95,3.0,16.0,11,170,25,3,1.0,1.0,0,4,2
150,4,3,150,3.0,16.0,11,170,25,3,1.0,1.0,0,4,2
160,3,2,150,3.0,17.0,13,160,25,3,1.5,0.67,0,4,2
100,2,1,220,2.0,15.0,6,90,25,1,1.0,1.0,1,2,0
120,2,1,190,0.0,15.0,9,40,25,2,1.0,0.67,1,2,0
140,3,2,220,3.0,21.0,7,130,25,3,1.33,0.67,0,4,0
90,3,0,170,3.0,18.0,2,90,25,3,1.0,1.0,1,4,0
130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,0,4,0
120,3,1,200,6.0,11.0,14,260,25,3,1.33,0.67,3,1,2
100,3,0,320,1.0,20.0,3,45,100,3,1.0,1.0,4,2,0
50,1,0,0,0.0,13.0,0,15,0,3,0.5,1.0,2,3,1
50,2,0,0,1.0,10.0,0,50,0,3,0.5,1.0,2,3,1
100,4,1,135,2.0,14.0,6,110,25,3,1.0,0.5,0,4,0
100,5,2,0,2.7,-1.0,-1,110,0,1,1.0,0.67,2,3,1
120,3,1,210,5.0,14.0,12,240,25,2,1.33,0.75,3,1,2
100,3,2,140,2.5,10.5,8,140,25,3,1.0,0.5,0,4,2
90,2,0,0,2.0,15.0,6,110,25,3,1.0,0.5,2,3,1
110,1,0,240,0.0,23.0,2,30,25,1,1.0,1.13,4,2,0
110,2,0,290,0.0,22.0,3,35,25,1,1.0,1.0,4,2,0
80,2,0,0,3.0,16.0,0,95,0,1,0.83,1.0,2,3,1
90,3,0,0,4.0,19.0,0,140,0,1,1.0,0.67,2,3,1
90,3,0,0,3.0,20.0,0,120,0,1,1.0,0.67,2,3,1
110,2,1,70,1.0,9.0,15,40,25,2,1.0,0.75,2,0,1
110,6,0,230,1.0,16.0,3,55,25,1,1.0,1.0,4,2,0
90,2,0,15,3.0,15.0,5,90,25,2,1.0,1.0,2,3,1
110,2,1,200,0.0,21.0,3,35,100,3,1.0,1.0,1,2,0
140,3,1,190,4.0,15.0,14,230,100,3,1.5,1.0,3,1,2
100,3,1,200,3.0,16.0,3,110,100,3,1.0,1.0,1,4,0
110,2,1,250,0.0,21.0,3,60,25,3,1.0,0.75,4,2,0
110,1,1,140,0.0,13.0,12,25,25,2,1.0,1.0,1,0,0
100,3,1,230,3.0,17.0,3,115,25,1,1.0,0.67,4,4,0
100,3,1,200,3.0,17.0,3,110,25,1,1.0,1.0,1,4,0
110,2,1,200,1.0,16.0,8,60,25,1,1.0,0.75,1,2,0
